n39,n38,f2r17,3.399916141,"126.6338758, 37.3743853, 126.63385, 37.3743578",0
n40,n39,f2r18,3.397173085,"126.63385, 37.3743578, 126.6338245, 37.3743296",0
n41,n40,f2r19,3.52935028,"126.6338245, 37.3743296, 126.6337977, 37.3743011",0
n42,n41,f2r20,3.44592891,"126.6337977, 37.3743011, 126.6337713, 37.3742739",0
n43,n42,f2r21,3.5782749,"126.6337713, 37.3742739, 126.6337444, 37.3742443",0
n44,n43,f2r22,3.077444305,"126.6337444, 37.3742443, 126.6337209, 37.3742198",0
n45,n44,f2r23,1.607572674,"126.6337209, 37.3742198, 126.6337087, 37.3742068",0
n46,n47,f2r34,8.906569893,"126.633717, 37.3742012, 126.6337924, 37.3741559",0
n46,229-영상연구실,229,1.399283817,"126.6337063, 37.3741901, 126.633717, 37.3742012","126.6337039,37.3741888"
n47,228-이동통신시스템,228,1.43812527,"126.6337924, 37.3741559, 126.6337814, 37.3741445","126.6337783,37.3741435"
n45,n46,f2r24,0.994903514,"126.6337087, 37.3742068, 126.633717, 37.3742012",0
n48,n45,f2r25,7.457898713,"126.6337087, 37.3742068, 126.6336456, 37.3742449",0
n49,201U-화장실(남),f2ta,3.165672031,"126.6336288, 37.3742264, 126.6336047, 37.374201","126.633604,37.374199"
n48,계단입구6,f2a2,1.139475327,"126.6336456, 37.3742449, 126.6336544, 37.3742537","126.6336544,37.3742537"
n53,203-무선정보연구실,203,1.696262548,"126.6334655, 37.3743307, 126.6334786, 37.3743438","126.6334655,37.3743307"
n49,ELEV실A2,f2eleva,4.497059396,"126.6336668, 37.3742032, 126.6336288, 37.3742264","126.6336668,37.3742032"
계단입구5,n56,f2a1,1.442902516,"126.633372, 37.3744072, 126.6333611, 37.3743954","126.6333588,37.3743954"
n55,204-임베디드 인공지능 연구실,204,1.596090004,"126.6333952, 37.374373, 126.6334072, 37.3743862","126.6333952,37.374373"
n54,205-정보처리실험실,205_1,1.033277445,"126.6334386, 37.3743808, 126.6334307, 37.3743726","126.6334396,37.3743821"
n52,202-분산네트워크연구실,202,1.851259445,"126.6335379, 37.3742846, 126.6335519, 37.3742997","126.6335389,37.374286"
n52,205-정보처리실험실,205_2,1.098012803,"126.6335519, 37.3742997, 126.6335603, 37.3743084","126.6335626,37.3743086"
n51,206-정보공학실험실,206,0.933226553,"126.6335852, 37.3742924, 126.6335781, 37.3742849","126.6335867,37.3742952"
n50,201-지능형 신호 및 정보 시스템 연구실,201,1.791181176,"126.633614, 37.3742417, 126.6336277, 37.3742559","126.6336118,37.3742401"
n56,n55,f2r33,4.154666502,"126.633372, 37.3744072, 126.6334072, 37.3743862",0
n55,n54,f2r32,2.764493809,"126.6334307, 37.3743726, 126.6334072, 37.3743862",0
n54,n53,f2r31,5.658638093,"126.6334786, 37.3743438, 126.6334307, 37.3743726",0
n53,n52,f2r30,8.659885082,"126.6334786, 37.3743438, 126.6335519, 37.3742997",0
n52,n51,f2r29,3.074349901,"126.6335519, 37.3742997, 126.6335781, 37.3742849",0
n50,n48,f2r27,2.11998192,"126.6336456, 37.3742449, 126.6336277, 37.3742559",0
n51,n50,f2r28,5.841274285,"126.6335781, 37.3742849, 126.6336277, 37.3742559",0
n49,n48,f2r26,2.235258161,"126.6336288, 37.3742264, 126.6336456, 37.3742449",0
n30,n31,f2r9,2.427871571,"126.633938, 37.374539, 126.6339196, 37.3745193",0
n21,n22,f2r0,4.537507509,"126.6336427, 37.3746869, 126.633681, 37.3746633",0
n99,테라스2,f3r44,2.987984505,"126.6333327,37.3744279,126.6333554,37.374452","126.6333568,37.3744514"
n101,테라스1,f3r45,1.30729781,"126.6332769,37.3744336,126.6332666,37.3744241","126.6332653,37.3744249"
n101,304-강의실(대)-계단식_1,304_1,1.80156269,"126.6332617,37.3744435,126.6332769,37.3744341","126.6332597,37.3744432"
n100,304-강의실(대)-계단식_2,304_2,1.427192716,"126.6333042,37.3744616,126.6332931,37.3744508","126.6333042,37.3744616"
n98,305-프로그래밍실습실_1,305_1,1.601824584,"126.6333719,37.3744229,126.6333594,37.3744109","126.6333719,37.3744229"
n97,계단입구9,f3a1,1.180618766,"126.6333588,37.3743954,126.6333675,37.3744056","126.6333588,37.3743954"
n96,303-학과학생회실-2(임베디드시스템),303,1.366958599,"126.6333787,37.3743813,126.6333889,37.3743928","126.6333787,37.3743813"
n95,302-캡스톤디자인실험실_1,302_1,1.30420234,"126.63342,37.3743572,126.6334298,37.374368","126.63342,37.3743572"
n94,305-프로그래밍실습실_2,305_2,1.551682789,"126.63349,37.3743515,126.6334784,37.3743385","126.63349,37.3743515"
n93,306-임베디드SW실험실_1,306_1,1.5443461,"126.6335175,37.374335,126.6335059,37.3743222","126.6335175,37.374335"
n92,302-캡스톤디자인실험실_2,302_2,1.288108262,"126.6335339,37.3742892,126.6335439,37.374299","126.6335339,37.3742892"
n91,301-지능로봇시스템실험실,301,1.3839739,"126.6335579,37.3742732,126.6335684,37.3742844","126.6335579,37.3742732"
n90,306-임베디드SW실험실_2,306_2,1.572751354,"126.6336167,37.3742763,126.6336052,37.3742625","126.6336167,37.3742763"
n88,계단입구10,f3a2,1.611465739,"126.6336544,37.3742537,126.6336426,37.3742396","126.6336544,37.3742537"
n89,301U-화장실(남),f3ta,3.318241332,"126.6336296,37.3742247,126.633604,37.374199","126.6336043,37.374198"
n89,ELEV실A3,f3eleva,4.375520295,"126.6336668,37.3742032,126.6336296,37.3742247","126.6336668,37.3742032"
n86,330-무선통신실험실,330,0.852029145,"126.6337063,37.3741901,126.6337128,37.3741969","126.6337052,37.3741888"
n87,329-임베디드시스템구조실험실,329,1.035487681,"126.6337934,37.3741486,126.6337853,37.3741409","126.6337824,37.3741417"
n84,328-교수연구실(임베디드시스템-강석훈),328,1.880923507,"126.6337369,37.3742106,126.6337209,37.3742198","126.6337381,37.374209"
n83,327-교수연구실(임베디드시스템-최병조),327,1.963160204,"126.6337616,37.3742373,126.6337449,37.3742469","126.6337616,37.3742373"
n82,326-교수연구실(임베디드시스템),326,1.853824709,"126.633787,37.3742645,126.6337713,37.3742739","126.6337884,37.3742645"
n81,325-교수연구실(임베디드시스템-이영섭),325,1.971550415,"126.6338145,37.3742916,126.6337977,37.3743011","126.6338145,37.3742916"
n80,324-교수연구실(임베디드시스템-강석훈),324,1.989156625,"126.6338413,37.3743193,126.6338245,37.3743296","126.6338406,37.3743204"
n79,323-교수연구실(임베디드시스템-전경구),323,2.060239557,"126.6338675,37.3743476,126.63385,37.3743578","126.6338675,37.3743476"
n78,322-학장실(정보기술대 교학실),322,2.024373912,"126.633893,37.3743753,126.6338758,37.3743853","126.633893,37.3743753"
n77,321-교학실(정보기술대 교학실),321,2.233059999,"126.633938,37.3744201,126.633919,37.374431","126.633938,37.3744201"
n76,320-교수연구실(박기석),320,2.121481367,"126.6339706,37.3744565,126.6339526,37.3744671","126.6339706,37.3744565"
n75,319-모바일앱실험실,319,1.495416228,"126.6340539,37.3744391,126.6340658,37.3744496","126.6340658,37.3744496"
n74,318-임베디드SW설계실험실,318,1.534127289,"126.6340001,37.3744906,126.6339882,37.3744789","126.6339988,37.374489"
n71,계단입구11,f3b2,1.50544867,"126.633902,37.3745112,126.6339136,37.3745229","126.633902,37.3745112"
n72,302U-화장실(여),f3tb,2.747231095,"126.6339346,37.3745426,126.6339562,37.3745627","126.6339577,37.3745628"
n72,ELEV실B3,f3elevb,4.602449996,"126.6339735,37.3745189,126.6339346,37.3745426","126.6339729,37.374517"
n70,317-창의설계실험실_2,317_2,1.421699935,"126.6338941,37.3745518,126.6338832,37.3745406","126.6338941,37.3745518"
n69,309-학과사무실(임베디드시스템),309,1.182716158,"126.6338317,37.3745556,126.6338407,37.3745651","126.6338313,37.3745535"
n68,310-실험준비실,310,1.35100492,"126.6338022,37.3745716,126.6338125,37.3745824","126.6338022,37.3745716"
n67,311-대학원강의실_2,311_2,1.274918764,"126.6337645,37.3745959,126.6337745,37.3746053","126.6337645,37.3745959"
n67,317-창의설계실험실_1,317_1,1.525280717,"126.6337745,37.3746053,126.6337862,37.3746173","126.6337848,37.3746201"
n65,311-대학원강의실_1,311_1,1.04185084,"126.6336906,37.3746423,126.6336984,37.374651","126.6336879,37.3746412"
n64,312-임베디드네트워크시스템 설계연구실,312,1.26286376,"126.6336642,37.3746551,126.6336739,37.374665","126.6336642,37.3746551"
n63,316-임베디드HW실습실_1,316_1,1.533812369,"126.6336782,37.3746812,126.6336662,37.3746698","126.6336782,37.3746812"
n62,계단입구12,f3b1,1.449902369,"126.6336522,37.3746953,126.6336407,37.374685","126.6336522,37.3746953"
n61,테라스3,f3r46,2.19132865,"126.6335891,37.3746872,126.6336057,37.374705","126.6335891,37.3746872"
n60,313-강의실(중)_2,313_2,1.388169358,"126.6335613,37.374715,126.6335722,37.3747252","126.6335613,37.374715"
n59,315-ABEEK자료실,f3r47,1.7668356,"126.6335776,37.3747438,126.6335638,37.3747306","126.6335776,37.3747438"
 313_1,n57,313_1,1.369160522,"126.6334823,37.3747619,126.6334929,37.3747724","126.6334823,37.3747619"
